Score 10 20 21 30 31 32 40 41 42 43 50 51 52 53 54 60 61 62 70 71 00 11 22 33 44 55 01 02 12 03 13 23 04 14 24 34 05 15 25 06 16 26 07 17 
Leicester_A 10.83 18.78 10.83 36.94 23.25 25.73 109.22 62.89 74.11 110.33 276.0 179.57 195.29 267.67 391.0 151.0 226.0 151.0 151.0 151.0 14.55 6.31 11.4 36.71 187.44 401.0 8.780000000000001 11.27 8.379999999999999 18.05 13.97 19.57 41.33 31.44 43.89 88.56 87.57 73.29 97.57 184.33 152.67 192.67 151.0 151.0 
Plymouth_H 10.61 7.64 9.08 8.17 9.1 21.1 10.83 14.28 31.11 91.78 19.14 22.29 50.29 152.67 311.0 34.0 39.33 69.67 61.33 71.33 25.69 10.82 18.83 57.32 228.67 301.0 30.84 60.86 26.54 157.55 69.7 57.18 233.0 228.67 213.11 235.33 271.0 271.0 266.0 151.0 151.0 151.0 151.0 151.0 
Rotherham_A 6.95 6.44 8.379999999999999 8.07 10.53 24.71 13.5 17.33 44.11 133.56 25.86 33.86 75.43 259.33 401.0 52.67 61.33 114.33 106.0 129.33 15.71 8.76 19.16 79.04 300.75 401.0 20.76 48.6 23.59 149.5 77.0 69.65 257.0 236.89 250.78 259.11 351.0 351.0 351.0 151.0 151.0 151.0 151.0 151.0 
Swansea_H 8.21 7.22 8.370000000000001 8.57 9.83 20.66 13.33 15.44 34.22 95.33 23.86 26.71 56.71 155.17 401.0 46.0 52.67 84.33 91.0 101.0 20.74 9.39 17.62 61.24 256.33000000000004 401.0 24.92 49.63 23.16 137.87 67.07 56.29 294.5 220.22 190.78 218.0 346.0 346.0 346.0 126.0 126.0 126.0 126.0 151.0 
Middlesbrough_H 8.33 8.67 7.9 12.29 11.51 19.75 24.22 22.67 39.44 92.0 48.14 47.43 76.71 196.83 391.0 94.33 91.0 136.0 163.5 209.33 14.99 7.0 13.05 44.89 223.0 401.0 15.48 26.55 14.12 64.53999999999999 34.56 36.4 181.89 115.33 115.89 161.33 346.0 288.5 288.5 151.0 151.0 151.0 151.0 151.0 
Blackburn_A 9.75 10.39 8.16 13.91 11.27 16.509999999999998 26.44 20.61 30.44 65.11 51.0 43.86 61.57 126.0 351.0 91.0 76.33 107.67 209.33 176.0 20.68 8.129999999999999 11.45 32.25 151.33 401.0 17.7 26.72 13.37 55.22 28.61 27.03 150.22 82.44 78.11 103.67 306.0 211.71 208.14 126.0 126.0 126.0 126.0 126.0 
Sunderland_A 8.41 12.04 8.440000000000001 19.62 15.21 20.32 48.0 35.44 52.44 94.22 109.0 89.0 119.57 256.0 401.0 163.5 176.0 163.5 151.0 151.0 14.24 6.42 10.86 36.86 193.56 401.0 10.18 17.41 10.55 33.33 22.54 26.19 98.11 61.89 75.78 120.78 247.43 170.29 188.14 151.0 301.0 151.0 151.0 151.0 
Coventry_H 7.57 7.56 7.85 10.62 11.26 21.46 20.72 22.0 44.0 112.44 43.14 43.86 83.29 239.33 421.0 81.0 84.33 137.67 192.67 192.67 13.77 7.21 15.01 56.03 259.11 401.0 16.04 31.69 17.17 84.28 45.63 46.81 256.33000000000004 161.33 160.78 215.78 346.0 363.5 363.5 151.0 126.0 126.0 151.0 151.0 
Ipswich_H 8.82 9.4 8.02 14.2 12.24 18.9 28.44 24.56 39.89 87.67 60.86 53.14 82.71 201.83 391.0 114.33 111.0 159.33 213.5 188.5 15.44 7.44 12.41 41.7 211.89 401.0 14.0 22.6 12.43 50.87 28.91 30.75 148.0 92.67 95.89 134.67 338.5 279.57 283.14 151.0 151.0 151.0 151.0 151.0 
Preston_A 6.32 7.0 8.02 10.58 12.29 24.84 21.22 24.67 51.89 149.11 45.29 52.43 109.57 276.0 401.0 94.33 109.33 176.0 163.5 188.5 11.55 6.78 16.15 69.74 247.63 401.0 13.99 31.01 17.41 89.01 51.03 54.29 234.11 178.56 190.78 220.22 351.0 376.0 309.33 151.0 151.0 151.0 151.0 151.0 
